Front	Back	Tags
Какой инструмент в Go приводит код к стандартному стилю форматирования?	`go fmt`.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 1<br><b>Subchapter:</b> Команда go fmt<br><b>Quote:</b> Go не делает этого. Он обязывает использовать стандартный формат	go backend anki_cards level_1_foundations tooling formatting gofmt bodner chapter_1
Что в Go ищет `go vet`?	Синтаксически корректный код, который, вероятно, логически неверен.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 1<br><b>Subchapter:</b> Команда go vet<br><b>Quote:</b> код синтаксически корректен, но, скорее всего, неверен	go backend anki_cards level_1_foundations tooling vet static_analysis bodner chapter_1
В чем практический смысл `go run`?	Он собирает временный исполняемый файл, запускает его и удаляет после завершения.<br><br><b>Source file:</b> Golang для профи Создаем профессиональные утилиты, параллельные серверы и сервисы. 3-е издание 2024.pdf<br><b>Chapter:</b> 1<br><b>Subchapter:</b> Использование Go в качестве языка скриптов<br><b>Quote:</b> Команда go run создает ... временный исполняемый файл, выполняет его и удаляет после завершения	go backend anki_cards level_1_foundations tooling gorun czukalos chapter_1
Когда вместо `go run` лучше использовать `go build`?	Когда нужно создать и распространять исполняемый бинарь.<br><br><b>Source file:</b> Golang для профи Создаем профессиональные утилиты, параллельные серверы и сервисы. 3-е издание 2024.pdf<br><b>Chapter:</b> 1<br><b>Subchapter:</b> Компиляция Go-кода<br><b>Quote:</b> Если вы хотите создать и распространить исполняемый двоичный файл, то лучше использовать команду go build	go backend anki_cards level_1_foundations tooling gobuild czukalos chapter_1
Какой тезис из книги Боднера описывает идиоматичный дизайн API в Go?	Принимайте интерфейсы, возвращайте структуры.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 7<br><b>Subchapter:</b> Принимайте интерфейсы, возвращайте структуры<br><b>Quote:</b> Принимайте интерфейсы и возвращайте структуры	go backend anki_cards level_1_foundations api_design interfaces bodner chapter_7
Какой базовый взгляд на ошибки продвигает Go?	Ошибки являются значениями.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 9<br><b>Subchapter:</b> Ошибки являются значениями<br><b>Quote:</b> Ошибки являются значениями	go backend anki_cards level_1_foundations errors bodner chapter_9
Какой тезис из книги Харшани описывает кривую обучения Go?	Go прост в изучении, но не всегда легок в освоении.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 1<br><b>Subchapter:</b> Просто не означает легко<br><b>Quote:</b> Go прост в изучении, но не всегда легок в освоении	go backend anki_cards level_1_foundations learning harshanyi chapter_1
Почему в Go рекомендуется возвращать concrete types, а не интерфейсы?	Потому что concrete type можно расширять новыми полями и методами без ломки существующего кода.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 7<br><b>Subchapter:</b> Принимайте интерфейсы, возвращайте структуры<br><b>Quote:</b> Когда функция возвращает конкретный тип, вы можете добавлять в него новые методы и поля, не нарушая работу существующего кода	go backend anki_cards level_2_core_understanding api_design interfaces concrete_types bodner chapter_7
Что такое затенение переменной в Go и чем оно опасно?	Это повторное объявление имени во внутреннем scope; оно может привести к ошибкам, когда используется не та переменная.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 2<br><b>Subchapter:</b> Ошибка #1: непреднамеренно затенять переменные<br><b>Quote:</b> Такая ситуация называется затенением переменной и может приводить к распространенным ошибкам	go backend anki_cards level_2_core_understanding variables shadowing harshanyi chapter_2
Какая архитектурная ошибка описывается как “интерфейсы на стороне производителя”?	Преждевременное объявление интерфейсов провайдером вместо того, чтобы дать им сформироваться из потребностей клиента.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 2<br><b>Subchapter:</b> Ошибка #6: интерфейсы на стороне производителя<br><b>Quote:</b> интерфейсы на стороне производителя	go backend anki_cards level_2_core_understanding api_design interfaces producer_side harshanyi chapter_2
Какой паттерн конфигурации в Go моделирует опции как функции над скрытой структурой настроек?	Паттерн функциональных опций.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 2<br><b>Subchapter:</b> Паттерн функциональных опций<br><b>Quote:</b> Каждая из ее опций представляет собой функцию, которая возвращает ошибку одного и того же типа: type Option func(options *options) error	go backend anki_cards level_2_core_understanding configuration functional_options harshanyi chapter_2
